[ASX Dashboard] Serving on http://0.0.0.0:5052
 * Serving Flask app 'dashboard_app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5052
 * Running on http://10.0.2.108:5052
Press CTRL+C to quit
127.0.0.1 - - [23/Apr/2026 02:34:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:34:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:35:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:35:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:35:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:36:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:36:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:36:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:42] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:42] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:42] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:37:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:38:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:39:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:39:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:39:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:40:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:40:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:40:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:41:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:41:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:41:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:42:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:42:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:42:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:43:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:43:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:43:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:44:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:44:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:44:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:39] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:39] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:39] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:45:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:46:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:46:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:46:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:46:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:46:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:46:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:47:17] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:47:17] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:47:17] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:03] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:03] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:03] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:48:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:49:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:50:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:44] "GET /api/trades HTTP/1.1" 200 -
